"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"K160TD1B.04",0.000827601487298978,1.03248498986085e-06,9.67317413343544e-05,0.995680698514061,1.00068314806216e-26,0.00326006936746635,2.13188476830081e-10,5.33275972048356e-17,3.29102236500108e-06,0.00013057434417726,2.4484719254552e-25,7.9305621686355e-10,3.20631450191324e-11
"K160TL96.04",9.15846591367119e-19,1.08653485414311e-14,0.00870856413368792,1.95069096620253e-17,0.988737409173443,6.40195289199636e-13,1.35079867574778e-20,1.54265552791756e-10,7.73985415723706e-11,3.30535177054013e-19,0.00255402646055347,6.58426391077668e-16,1.12749003681337e-20
"K160TLQ1.04",1.47954460849755e-29,3.0319252302758e-17,3.58561013506479e-06,2.18094746100624e-21,0.395337895933479,6.76502828784697e-17,2.32817818631177e-17,5.65408230316999e-05,2.5581562669978e-21,2.93829290987751e-20,0.604601977633354,6.19541825906235e-21,9.48684020770397e-23
"K160TWG2.04",3.07181268222419e-33,3.33356659028532e-18,5.99803854369517e-08,1.29731243921293e-20,0.985545226616388,1.99464151172983e-06,1.05493210451283e-14,0.00174185738757545,2.88514802080285e-20,7.21658374915127e-13,8.36049619008467e-05,3.18817005863984e-23,0.0126272564115063
"K160TY18.04",4.35948428336313e-36,2.61583573582903e-23,3.95123321833e-10,1.13054339054762e-25,0.999925345956787,5.74640762707219e-19,2.3608665676816e-20,4.5588202559268e-07,2.66474935718823e-22,4.87865900731832e-20,7.41977660643999e-05,8.74735191756355e-29,3.52443115597699e-22
"K160TY4J.04",1.53439646955886e-12,3.91137982974541e-07,0.136986649193936,0.00837168173466958,9.42404698149187e-05,0.830883608538164,1.90373985292014e-11,5.57056996730938e-10,4.35676553285313e-09,0.00758123835311541,0.0152929051912023,1.34028464317501e-10,0.000789280312691685
"K160TZZQ.04",0.000114908076206533,0.256367274723143,0.0470626336418437,0.538438959057075,4.78351133074223e-09,0.131935491618896,0.000546159939000687,3.3148515557558e-05,5.33967573851691e-08,1.4028188898867e-14,0.0254950484521582,6.30976173329117e-06,8.034102441106e-09
"K160V4D4.04",7.84076316360953e-09,0.00864454113698929,4.49469265297781e-05,0.00317460344394214,1.56063367946997e-26,0.98790294306321,0.00023272678292088,4.54362665469961e-08,8.15633095016895e-13,2.03723461010927e-12,3.45089606702616e-25,4.71426358855471e-09,1.80652261887202e-07
"K160VSFD.04",5.737518802573e-21,1.07959289436441e-11,0.000206216410137503,7.49678099523887e-12,0.00431074153941808,1.11686441430673e-07,1.18118116748501e-09,0.0230867925924858,1.89079784674873e-17,1.38313099969524e-12,0.972396136570653,3.62232789532186e-16,6.92929145466921e-15
"K160VWML.04",1.79836898676857e-32,2.01078149818706e-18,2.85310356602579e-07,4.17039293201893e-22,0.00473191614675266,1.34442142271063e-15,2.68077310351042e-12,0.993404379550196,2.51719200629627e-19,9.99952359945419e-21,0.00186341899001292,9.03587168676601e-24,2.56338207432824e-20
"K160WTHP.04",1.05768887263908e-17,1.78659442566603e-10,0.0124748097205809,1.47784808829969e-11,0.0145584242542604,7.85414087660728e-12,5.25026774738367e-20,9.41186443079647e-10,2.1446186988003e-12,1.64880298196002e-18,0.97296676488052,1.53577059903587e-14,3.43467847926394e-19
"A160S8JY.04",0.00198689698258696,0.995536704328884,0.000156579135048121,0.000419658017918211,2.49265047187326e-12,3.5091752354596e-11,1.16760491937859e-09,2.27134827975074e-12,7.63807029357839e-11,3.17249494142851e-21,0.00190014059172866,1.96599928976058e-08,1.9560428445594e-24
"A160SL0H.04",0.331897081808162,3.24752527660977e-06,0.0164530872042437,0.0434537366176815,1.01434286960907e-20,0.0141751263102912,1.07469021332004e-13,4.27462274592393e-16,0.593865065681657,7.61838654899118e-19,5.65087959780618e-19,0.000152650461469025,4.39111075083737e-09
"A160SPVJ.04",0.999908858139004,5.05587338974888e-09,6.26747137110884e-10,1.67538674914767e-07,6.58673564071547e-47,7.29175441679045e-11,1.35855945330883e-19,5.3435061347411e-26,9.09685528395032e-05,1.95780969518627e-27,3.61393388660533e-47,1.39433861135108e-11,6.36975935867696e-26
"A160SS7H.04",0.99955270765188,3.93287433887031e-08,2.52600276410993e-07,1.29645137205584e-06,3.01731413641643e-38,2.54913580877865e-08,4.74170141771077e-18,4.2139923024605e-22,0.000445678275931742,2.85436094015351e-24,8.64583111046895e-38,2.00438649819959e-10,2.88205121925407e-20
"A160SYWG.04",0.999376652489695,1.46322505008896e-06,3.36522628989562e-06,1.24887481566721e-05,4.70100493265745e-30,2.01156025134596e-06,5.78272342400861e-17,8.07557922670574e-20,0.000604018036782063,6.89451358942574e-23,2.60581390688571e-27,7.13748003973022e-10,2.71065904033666e-14
"A160T0P6.04",0.944351282294098,3.5045647243209e-06,0.0518981018097361,4.74570423350757e-08,7.69164619616332e-11,4.62550119356397e-16,3.94471766380904e-18,6.88678900249061e-16,0.00374356666725782,4.41425920577072e-25,3.46115608170814e-06,3.59741423228474e-08,3.27617053074192e-31
"A160TCFC.04",1.02071821727714e-45,3.03343351667335e-37,5.90625116040357e-12,6.23909926352314e-38,0.9999999996691,7.08088306438823e-23,4.39732998853357e-38,3.25399205598414e-14,1.29603871155096e-24,2.32177936008454e-26,3.24961072843648e-10,4.1516491351787e-36,5.40334087218328e-22
"A160TVXG.04",3.1697363526764e-13,0.0168518157991954,0.000285474821692799,7.86614158392872e-06,1.4512937354899e-08,1.7723567057127e-08,4.29769789346065e-05,0.00070249468801288,3.33806844839816e-15,2.33915560073147e-14,0.982109339325503,8.22918048052873e-12,1.79373582140793e-19
"A160V57J.04",6.98124770290039e-47,2.6192540150935e-31,2.04181656025851e-11,4.51005555967822e-34,0.999852610221842,2.37744832381413e-15,9.27321450901597e-23,0.000147261774274301,1.58513613202698e-27,7.98932915522219e-23,1.27968496713878e-07,7.33626317030536e-35,1.4966803545249e-11
"A160VFYG.04",1.49586554698144e-18,2.29788345111282e-09,0.050130616710532,5.49871417026186e-08,1.36252772984246e-11,0.840411985527509,9.58794521250435e-14,8.58575675564684e-08,8.38137380304338e-13,3.043387271908e-16,5.56500325842379e-12,2.41395910120449e-13,0.109457254599
"A160VT5K.04",6.41804786694284e-21,2.45886711168711e-12,1.73224036289969e-05,4.13288535238704e-09,5.07470438293431e-13,0.975143940318977,7.91954493938714e-14,2.31021151267994e-08,2.53683512010198e-16,1.45839181089506e-07,4.2908190881952e-12,5.7111838944794e-16,0.0248385641958754
